,start,end,kor,eng
0,48,1932,,The Big Bang Theory...
1,2030,5031,,My brother-- he's got a big crush on Bernadette.
2,6471,9505,,You're moving back to India?
3,15762,17096,,What's going on?
4,17098,18547,,(laughs)
5,18549,21434,,It's-It's not what it looks like.
6,24555,27073,,What does it look like?
7,29076,32778,,It's not what it looks like.
8,33630,37617,,It's not what it looks like.
9,37619,39285,,What are you grinding about?
10,39287,42505,,Penny's brain teaser this morning.
11,42507,44123,,She and Koothrappali
12,44125,46342,,emerge from your bedroom.
13,46344,49879,,"She is disheveled, and Raj is dressed only in a sheet."
14,49881,55101,,"The sole clue: ""It's not what it looks like."""
15,55103,57803,,"Just let it go, Sheldon."
16,57805,61607,,"If I could, I would, but I can't, so I shan't."
17,61609,63809,,"Now, knowing Penny,"
18,63811,66979,,"the obvious answer is, they engaged in coitus."
19,66981,68531,,But...
20,68533,70266,,"since that's what it looked like,"
21,70268,73519,,we can rule that out.
22,73521,74620,,Let's put on
23,74622,77623,,"our thinking cap, shall we?"
24,81778,85047,,"Raj is from India, a tropical country."
25,85049,86749,,Third World hygiene.
26,86751,90119,,"Parasitic infections are common, such as pinworms."
27,90121,91721,,Mm-hmm. The procedure
28,91723,93472,,for diagnosing pinworms is to wait
29,93474,95341,,"until the subject is asleep,"
30,95343,97944,,and the worms crawl out of the rectum for air.
31,103967,106269,,"Yes, just like that."
32,107454,109238,,Penny could have been
33,109240,111741,,inspecting Raj's anal region for parasites.
34,111743,113276,,"Oh, boy."
35,113278,115328,,That's a true blue friend.
36,115330,119332,,"They slept together, Sherlock."
37,119334,121367,,"No, you weren't listening."
38,121369,124787,,She said it's   what it looks like.
39,124789,127206,,She lied.
40,130077,132295,,Oh.
41,133463,136849,,Don't I look silly sitting here wearing this?
42,138268,141887,,"¢Ü Our whole universe was in a hot, dense state ¢Ü"
43,141889,145224,,¢Ü Then nearly 14 billion years ago expansion started... Wait! ¢Ü
44,145226,146926,,¢Ü The Earth began to cool ¢Ü
45,146928,149362,,"¢Ü The autotrophs began to drool, Neanderthals developed tools ¢Ü"
46,149364,152064,,¢Ü We built the Wall ¢Ü ¢Ü   ¢Ü
47,152066,154717,,"¢Ü Math, Science, History, unraveling the mystery ¢Ü"
48,154719,156652,,¢Ü That all started with a big bang ¢Ü
49,156654,158621,,¢Ü   ¢Ü
50,158646,162146,,"Original Air Date on September 22, 2011"
51,162171,165671,,"== sync, corrected by   =="
52,172000,173000,,Hey.
53,173002,173834,,Hey.
54,173836,175836,,Hey.
55,177301,179770,,Hey.
56,186415,188366,,"Leonard, is it awkward for you"
57,188368,191202,,knowing that one of your dear friends had sexual intercourse
58,191204,193070,,with a woman you used to love
59,193072,195706,,in the very place you lay your head?
60,197793,199894,,"No, I'm fine with it."
61,199896,202046,,"That sounds like sarcasm,"
62,202048,204081,,"but I'm going to disregard it,"
63,204083,206801,,because I have an agenda-- paintball.
64,206803,208252,,"Specifically, the interdepartmental"
65,208254,209687,,tournament this weekend.
66,209689,212756,,"In order to function better as a fighting unit,"
67,212758,215592,,I thought we should establish a chain of command.
68,215594,217061,,"Now, it goes without saying"
69,217063,219013,,"that I would outrank the three of you,"
70,219015,221983,,"but the question remains, by how much?"
71,221985,223234,,"Now,"
72,223236,225870,,"I don't see me as some four-star general,"
73,225872,227788,,back at HQ riding a desk
74,227790,229907,,and playing golf with the Secretary of Defense.
75,229909,231959,,"But I also can't be Sergeant Cooper,"
76,231961,233377,,because that might lead you
77,233379,235746,,to think of me as just a regular Joe.
78,235748,238282,,This might take some thought. As you were.
79,238284,240051,,What the hell is wrong with you?
80,240053,241719,,"Yeah, how could you do that?"
81,241721,244255,,What is it to you? - I got his back.
82,244257,246123,,"Yeah, right. You're just jealous because it turns out"
83,246125,247624,,I'm Penny's number two choice after Leonard.
84,247626,251479,,"Hey, if I wasn't engaged to Bernadette,"
85,251481,253097,,that totally could have been me.
86,254016,256100,,"Please. Sheldon would have been before you,"
87,256102,259153,,and he might not even have genitals!
88,259155,260521,,Why do you care so much?
89,260523,261806,,"You're dating my sister,"
90,261808,263574,,and Penny and I are in love.
91,263576,264909,,BOTH: What?!
92,264911,268162,,"Gentlemen, if I may interject,"
93,268164,270481,,I've decided my rank will be captain.
94,270483,273334,,"If it's good enough for Kirk, Crunch and Kangaroo,"
95,273336,275503,,it's good enough for me.
96,275505,277738,,You're not in love with Penny.
97,277740,279123,,"Yes, I am."
98,279125,283044,,The god Kamadeva has shot us with his flowery arrows of love.
99,283046,284178,,Who?
100,284180,285563,,"He's the Hindu version of Cupid,"
101,285565,289016,,"but way better, because he rides a giant parrot."
102,289018,293104,,"Raj, come on. You fall in love with any girl who smiles at you."
103,293106,296357,,"A month ago, you were writing poems about his fiancee."
104,297342,299443,,I'm sorry. What?!
105,299445,302480,,Rubbish. He's talking rubbish.
106,302482,305682,,"""Oh, Bernadette, please play my clarinet."""
107,307018,310371,,That could have been about anyone.
108,311289,312689,,"Besides, you have nothing to worry about,"
109,312691,316527,,because now I'm the dusky half of Koothrapenny.
110,317329,319630,,"For the record, I do have genitals."
111,320865,323784,,They're functional and aesthetically pleasing.
112,331810,333961,,(groans)
113,334763,337047,,Well.
114,338216,339266,,(knocking)
115,339268,341635,,Oh. Coming.
116,341637,343137,,"Yup, that's good."
117,343139,345489,,Wine glasses   have handles.
118,347242,350277,,Keeping accurate track of your alcohol intake.
119,350279,352530,,Smart idea considering how trampy you get
120,352532,354231,,when you've had a few.
121,354233,356016,,You heard what I did?
122,356018,357752,,"Well, I heard   you did."
123,357754,359003,,(grunts)
124,359005,361705,,"Oh, my God,"
125,361707,363407,,I screwed up everything.
126,363409,365009,,I hurt Leonard.
127,365011,366210,,I hurt Raj.
128,366212,368012,,"I mean, what is wrong with me?"
129,368014,370080,,I feel like two totally different people--
130,370082,373300,,Dr. Jekyll and Mrs. Whore.
131,373302,375636,,Don't be so hard on yourself.
132,375638,378472,,Do you know the story of Catherine the Great?
133,378474,379440,,No.
134,379442,380757,,She ruled Russia
135,380759,382443,,"in the late 1700s, and one night,"
136,382445,384261,,"when she was feeling particularly randy,"
137,384263,386113,,she used an intricate system of pulleys
138,386115,389083,,to have intimate relations with a horse.
139,389085,391652,,I'm... I'm sorry.
140,391654,393370,,What does this have to do with me?
141,393372,396407,,"She engaged in interspecies hanky-panky,"
142,396409,398959,,"and people still call her ""Great."""
143,398961,400444,,I'm sure your reputation can survive
144,400446,402963,,you shagging a little Indian boy.
145,406802,408803,,(knocking)
146,408805,410337,,(sighs)
147,412174,414091,,You jerk face!
148,415427,416577,,What did you tell Howard?!
149,416579,418846,,Did you say there was something going on between us?
150,418848,420047,,Because he thinks there is!
151,420049,422516,,He's completely freaking out!
152,422518,425269,,"Please, come in."
153,425271,427638,,What the hell is wrong with you?! - Well...
154,427640,430741,,"You were always so nice to me, I thought maybe you liked me."
155,430743,434512,,I'm nice to everyone!
156,434514,436413,,I'm sorry.
157,436415,438365,,"Damn right, you're sorry!"
158,438367,441952,,And you tell Howard there's never been anything between us!
